controller,lap,lap_time_s,position_rmse_m,position_mean_error_m,position_max_error_m,x_num_transitions,x_rise_time_mean_s,x_overshoot_mean_pct,x_settling_time_mean_s,y_num_transitions,y_rise_time_mean_s,y_overshoot_mean_pct,y_settling_time_mean_s
Pure Pursuit,2,9.002635717391968,2.5915853529835924,2.368665966762914,4.212797271826212,3,1.4765384834424584,1.7512636027232853,0.9600155787130372,2,1.1890649387794259,3.6153206386039916,1.6690727281359448
PINN Drive,2,8.15059208869934,1.4005849980582368,1.1545423411967208,2.9694650842075236,3,1.4965326301668551,2.9594889767009227,,2,0.9540893476263399,4.616772433310345,1.322578970404781
NN AI Controller,2,8.80549430847168,1.7025431491082652,1.589366191320872,3.0261301353025134,3,1.7385206711597931,2.9195538564394865,,2,0.9283620696261998,5.600578657448896,1.5778170797080475
