x,y,lap_time_s
-65.00699576113385,53.2896020132088,50.85574412345886
-64.87482121907951,53.238532442675904,50.85574412345886
-64.697059044399,53.188997810934865,50.85574412345886
-64.57324855488582,53.126917208232484,50.85574412345886
-64.46357945919817,53.063435526393,50.85574412345886
-64.3210042348697,52.994216639677205,50.85574412345886
-64.20837463120333,52.93592038038414,50.85574412345886
-64.15871565412425,52.93167761726986,50.85574412345886
-64.17525631756723,52.951285984572436,50.85574412345886
-64.19274773106179,52.96118475160276,50.85574412345886
-64.19274773106179,52.96118475160276,50.85574412345886
-64.19274773106179,52.96118475160276,50.85574412345886
-64.17768075064336,52.96722453242595,50.85574412345886
-64.17768075064336,52.96722453242595,50.85574412345886
-64.17768075064336,52.96722453242595,50.85574412345886
-64.17768075064336,52.96722453242595,50.85574412345886
-64.17768075064336,52.96722453242595,50.85574412345886
-64.17768075064336,52.96722453242595,50.85574412345886
-64.20470152092356,52.97227233637983,50.85574412345886
-64.20470152092356,52.97227233637983,50.85574412345886
-64.20470152092356,52.97227233637983,50.85574412345886
-64.20470152092356,52.97227233637983,50.85574412345886
-64.20470152092356,52.97227233637983,50.85574412345886
-64.22168890764567,52.97701653935558,50.85574412345886
-64.22168890764567,52.97701653935558,50.85574412345886
-64.22168890764567,52.97701653935558,50.85574412345886
-64.22168890764567,52.97701653935558,50.85574412345886
-64.22168890764567,52.97701653935558,50.85574412345886
-64.22168890764567,52.97701653935558,50.85574412345886
-64.20725015352748,52.97276959374976,50.85574412345886
-64.20725015352748,52.97276959374976,50.85574412345886
-64.20725015352748,52.97276959374976,50.85574412345886
-64.20725015352748,52.97276959374976,50.85574412345886
-64.20725015352748,52.97276959374976,50.85574412345886
-64.21980817532184,52.97621415797943,50.85574412345886
-64.21980817532184,52.97621415797943,50.85574412345886
-64.21980817532184,52.97621415797943,50.85574412345886
-64.21980817532184,52.97621415797943,50.85574412345886
-64.21980817532184,52.97621415797943,50.85574412345886
-64.21980817532184,52.97621415797943,50.85574412345886
-64.20929263095293,52.97601298402265,50.85574412345886
-64.20929263095293,52.97601298402265,50.85574412345886
-64.20929263095293,52.97601298402265,50.85574412345886
-64.20929263095293,52.97601298402265,50.85574412345886
-64.20929263095293,52.97601298402265,50.85574412345886
-64.17635677863132,52.98451443546627,50.85574412345886
-64.17635677863132,52.98451443546627,50.85574412345886
-64.17635677863132,52.98451443546627,50.85574412345886
-64.17635677863132,52.98451443546627,50.85574412345886
-64.17635677863132,52.98451443546627,50.85574412345886
-64.17635677863132,52.98451443546627,50.85574412345886
-64.15217170432192,52.99519560440756,50.85574412345886
-64.15217170432192,52.99519560440756,50.85574412345886
-64.15217170432192,52.99519560440756,50.85574412345886
-64.15217170432192,52.99519560440756,50.85574412345886
-64.15217170432192,52.99519560440756,50.85574412345886
-64.1838447971597,53.00089840675523,50.85574412345886
-64.1838447971597,53.00089840675523,50.85574412345886
-64.1838447971597,53.00089840675523,50.85574412345886
-64.1838447971597,53.00089840675523,50.85574412345886
-64.1838447971597,53.00089840675523,50.85574412345886
-64.1838447971597,53.00089840675523,50.85574412345886
-64.16236628411964,53.00960837171184,50.85574412345886
-64.16236628411964,53.00960837171184,50.85574412345886
-64.16236628411964,53.00960837171184,50.85574412345886
-64.16236628411964,53.00960837171184,50.85574412345886
-64.16236628411964,53.00960837171184,50.85574412345886
-64.16236628411964,53.00960837171184,50.85574412345886
-64.16020943550322,53.03018247116133,50.85574412345886
-64.16020943550322,53.03018247116133,50.85574412345886
-64.16020943550322,53.03018247116133,50.85574412345886
-64.16020943550322,53.03018247116133,50.85574412345886
-64.16020943550322,53.03018247116133,50.85574412345886
-64.16020943550322,53.03018247116133,50.85574412345886
-64.10583645307958,53.04757155360836,50.85574412345886
-64.10583645307958,53.04757155360836,50.85574412345886
-64.10583645307958,53.04757155360836,50.85574412345886
-64.10583645307958,53.04757155360836,50.85574412345886
-64.10583645307958,53.04757155360836,50.85574412345886
-64.0649216397234,53.076467336816876,50.85574412345886
-64.0649216397234,53.076467336816876,50.85574412345886
-64.0649216397234,53.076467336816876,50.85574412345886
-64.0649216397234,53.076467336816876,50.85574412345886
-64.0649216397234,53.076467336816876,50.85574412345886
-64.0649216397234,53.076467336816876,50.85574412345886
-64.04057332914849,53.1035286409853,50.85574412345886
-64.04057332914849,53.1035286409853,50.85574412345886
-64.04057332914849,53.1035286409853,50.85574412345886
-64.04057332914849,53.1035286409853,50.85574412345886
-64.04057332914849,53.1035286409853,50.85574412345886
-64.04057332914849,53.1035286409853,50.85574412345886
-63.954451423645956,53.130745227849935,50.85574412345886
-63.954451423645956,53.130745227849935,50.85574412345886
-63.954451423645956,53.130745227849935,50.85574412345886
-63.954451423645956,53.130745227849935,50.85574412345886
-63.954451423645956,53.130745227849935,50.85574412345886
-63.920383299642026,53.154554919409094,50.85574412345886
-63.920383299642026,53.154554919409094,50.85574412345886
-63.920383299642026,53.154554919409094,50.85574412345886
-63.920383299642026,53.154554919409094,50.85574412345886
-63.920383299642026,53.154554919409094,50.85574412345886
-63.920383299642026,53.154554919409094,50.85574412345886
-63.920383299642026,53.154554919409094,50.85574412345886
-63.920383299642026,53.154554919409094,50.85574412345886
-63.90228319151967,53.175242075096726,50.85574412345886
-63.90228319151967,53.175242075096726,50.85574412345886
-63.90228319151967,53.175242075096726,50.85574412345886
-63.90228319151967,53.175242075096726,50.85574412345886
-63.90228319151967,53.175242075096726,50.85574412345886
-63.84377237813542,53.21560716305656,50.85574412345886
-63.84377237813542,53.21560716305656,50.85574412345886
-63.84377237813542,53.21560716305656,50.85574412345886
-63.84377237813542,53.21560716305656,50.85574412345886
-63.84377237813542,53.21560716305656,50.85574412345886
-63.7499876058869,53.25555476000378,50.85574412345886
-63.7499876058869,53.25555476000378,50.85574412345886
-63.7499876058869,53.25555476000378,50.85574412345886
-63.7499876058869,53.25555476000378,50.85574412345886
-63.7499876058869,53.25555476000378,50.85574412345886
-63.7499876058869,53.25555476000378,50.85574412345886
-63.59730951957475,53.29517022848837,50.85574412345886
-63.59730951957475,53.29517022848837,50.85574412345886
-63.59730951957475,53.29517022848837,50.85574412345886
-63.59730951957475,53.29517022848837,50.85574412345886
-63.59730951957475,53.29517022848837,50.85574412345886
