controller,lap,target_x,target_y,lap_time_s,x_rise_time_s,x_overshoot_pct,x_settling_time_s,x_steady_state_error,x_time_to_hit_abs_tol_s,y_rise_time_s,y_overshoot_pct,y_settling_time_s,y_steady_state_error,y_time_to_hit_abs_tol_s,initial_distance_m,min_distance_m,time_to_min_distance_s,time_to_hit_dist_tol_s,distance_settling_time_s,distance_reduction_rise_time_s
Pure Pursuit,2,5.0,1.0,9.002635717391968,0.13543788247403843,350.54362768804504,,-6.240890952445853,0.13942134960562783,1.533634845661906,965.5294515462095,,-1.028191855432758,1.5376183127934953,1.5731561915896892,0.6396693441696675,0.17128908665834275,,,
PINN Drive,2,5.0,1.0,8.15059208869934,0.24300396745389047,193.84506721325994,,-6.067810930346488,0.2788570118323333,0.7529139319472998,697.0293965970104,,-1.0870195940811613,0.9879505562059807,2.8312715840599827,0.9894648117536207,0.31072638461317137,,,
NN AI Controller,2,5.0,1.0,8.80549430847168,0.38250111023225397,80.98062476303987,,-6.2311124942410405,0.44625129527096297,1.199300356040713,658.0157789959959,,-1.2161998942943504,1.187347196345955,6.281451466978291,0.5641818202133969,0.45820445496572093,,,0.42234497588144715
