progress,time,pp_x,pp_y,pp_yaw,pp_cte
0.0,0.0691230297088623,0.0,0.0,3.141592653589793,0.0
0.005257347142631828,0.0696864128112793,0.0,0.0,3.141592653589793,0.0
0.010514694285263656,0.07009434700012207,0.0,0.0,3.141592653589793,0.0
0.015772041427895483,0.07047200202941895,0.0,0.0,3.141592653589793,0.0
0.021029388570527312,0.07084894180297852,0.0,0.0,3.141592653589793,0.0
0.02628673571315914,0.07123565673828125,0.0,0.0,3.141592653589793,0.0
0.03154408285579097,0.07160449028015137,0.0,0.0,3.141592653589793,0.0
0.0368014299984228,0.07441115379333496,0.0,0.0,3.141592653589793,0.0
0.042058777141054625,0.07917308807373047,-7.1325e-05,8.734793294918496e-21,3.141592653589793,7.1325e-05
0.04731612428368645,0.08269405364990234,-7.1325e-05,8.734793294918496e-21,3.141592653589793,7.1325e-05
0.05257347142631828,0.08687520027160645,-7.1325e-05,8.734793294918496e-21,3.141592653589793,7.1325e-05
0.05783081856895011,0.09073114395141602,-0.00056720849625,6.946300693817459e-20,3.141592653589793,0.00056720849625
0.06308816571158193,0.09488201141357422,-0.00056720849625,6.946300693817459e-20,3.141592653589793,0.00056720849625
0.06834551285421377,0.09995388984680176,-0.0017527627316716319,-2.5925428904640604e-08,-3.1415297612493758,0.0017527627318633656
0.0736028599968456,0.1032557487487793,-0.0017527627316716319,-2.5925428904640604e-08,-3.1415297612493758,0.0017527627318633656
0.07886020713947742,0.10713410377502441,-0.0017527627316716319,-2.5925428904640604e-08,-3.1415297612493758,0.0017527627318633656
0.08411755428210925,0.11109375953674316,-0.003595193825871407,-3.660339561059436e-07,-3.141256516701237,0.0035951938445047357
0.08937490142474108,0.1148531436920166,-0.003595193825871407,-3.660339561059436e-07,-3.141256516701237,0.0035951938445047357
0.0946322485673729,0.11998939514160156,-0.00606326684615501,-1.8917899181057367e-06,-3.140652266154803,0.006063267141282133
0.09988959571000473,0.12285375595092773,-0.00606326684615501,-1.8917899181057367e-06,-3.140652266154803,0.006063267141282133
0.10514694285263657,0.1270008087158203,-0.00606326684615501,-1.8917899181057367e-06,-3.140652266154803,0.006063267141282133
0.11040428999526838,0.1309370994567871,-0.009127230161383828,-6.302554530171348e-06,-3.1396037916959214,0.009127232337410298
0.11566163713790022,0.13510704040527344,-0.009127230161383828,-6.302554530171348e-06,-3.1396037916959214,0.009127232337410298
0.12091898428053205,0.1395397186279297,-0.009127230161383828,-6.302554530171348e-06,-3.1396037916959214,0.009127232337410298
0.12617633142316387,0.1425952911376953,-0.012758740969219471,-1.632058876729355e-05,-3.138004342579918,0.012758751407612625
0.13143367856579571,0.14661526679992676,-0.012758740969219471,-1.632058876729355e-05,-3.138004342579918,0.012758751407612625
0.13669102570842753,0.15068435668945312,-0.012758740969219471,-1.632058876729355e-05,-3.138004342579918,0.012758751407612625
0.14194837285105935,0.15475106239318848,-0.016930790404352376,-3.584320332854044e-05,-3.135752730921434,0.016930828345102768
0.1472057199936912,0.1596982479095459,-0.016930790404352376,-3.584320332854044e-05,-3.135752730921434,0.016930828345102768
0.15246306713632302,0.1632530689239502,-0.02161762656742075,-7.006005512378931e-05,-3.1327524806794025,0.021617740095111224
0.15772041427895483,0.16748833656311035,-0.02161762656742075,-7.006005512378931e-05,-3.1327524806794025,0.021617740095111224
0.16297776142158668,0.1711864471435547,-0.026789910137614434,-0.0002560960268619572,-3.1295594697570035,0.026791134174506893
0.1682351085642185,0.17519402503967285,-0.026789910137614434,-0.0002560960268619572,-3.1295594697570035,0.026791134174506893
0.17349245570685032,0.18012142181396484,-0.032412759533959154,-0.0007469842992317845,-3.1267644604412084,0.032421365889634554
0.17874980284948216,0.1828172206878662,-0.032412759533959154,-0.0007469842992317845,-3.1267644604412084,0.032421365889634554
0.18400714999211398,0.18716859817504883,-0.032412759533959154,-0.0007469842992317845,-3.1267644604412084,0.032421365889634554
0.1892644971347458,0.19124174118041992,-0.03846680152244776,-0.0014004256252655306,-3.1232524966969946,0.038492285088044455
0.19452184427737765,0.19515419006347656,-0.03846680152244776,-0.0014004256252655306,-3.1232524966969946,0.038492285088044455
0.19977919142000947,0.20006537437438965,-0.03846680152244776,-0.0014004256252655306,-3.1232524966969946,0.038492285088044455
0.20503653856264129,0.20279502868652344,-0.044936084663950236,-0.0021534105669816827,-3.119548209161966,0.044987652550402005
0.21029388570527313,0.20668768882751465,-0.044936084663950236,-0.0021534105669816827,-3.119548209161966,0.044987652550402005
0.21555123284790495,0.2109205722808838,-0.051799532390424674,-0.0030085754401407453,-3.1153580372916783,0.05188682956247831
0.22080857999053677,0.21497535705566406,-0.051799532390424674,-0.0030085754401407453,-3.1153580372916783,0.05188682956247831
0.22606592713316861,0.2200794219970703,-0.05904363517778704,-0.003917485596137425,-3.1112715001671014,0.059173453071487685
0.23132327427580043,0.22318816184997559,-0.05904363517778704,-0.003917485596137425,-3.1112715001671014,0.059173453071487685
0.23658062141843225,0.2272183895111084,-0.05904363517778704,-0.003917485596137425,-3.1112715001671014,0.059173453071487685
0.2418379685610641,0.2310929298400879,-0.06665341831007991,-0.004852312770724225,-3.107333488544006,0.06682980705975014
0.24709531570369592,0.23482894897460938,-0.06665341831007991,-0.004852312770724225,-3.107333488544006,0.06682980705975014
0.25235266284632774,0.23976802825927734,-0.06665341831007991,-0.004852312770724225,-3.107333488544006,0.06682980705975014
0.25761000998895955,0.242753267288208,-0.07460671634391612,-0.005850365149121967,-3.103103610695359,0.07483574611106394
0.26286735713159143,0.24730229377746582,-0.07460671634391612,-0.005850365149121967,-3.103103610695359,0.07483574611106394
0.26812470427422325,0.25104427337646484,-0.0828883473765431,-0.006899152794133683,-3.0989059134595864,0.08317497484274511
0.27338205141685507,0.255018949508667,-0.0828883473765431,-0.006899152794133683,-3.0989059134595864,0.08317497484274511
0.2786393985594869,0.2595219612121582,-0.0828883473765431,-0.006899152794133683,-3.0989059134595864,0.08317497484274511
0.2838967457021187,0.26256513595581055,-0.09147874864256969,-0.008026738872668499,-3.094384858233144,0.0918302237291212
0.2891540928447505,0.26663923263549805,-0.09147874864256969,-0.008026738872668499,-3.094384858233144,0.0918302237291212
0.2944114399873824,0.27109336853027344,-0.10036504328675465,-0.009214778463813482,-3.0898869020501363,0.10078717208102078
0.2996687871300142,0.2748281955718994,-0.10036504328675465,-0.009214778463813482,-3.0898869020501363,0.10078717208102078
0.30492613427264603,0.27991533279418945,-0.10036504328675465,-0.009214778463813482,-3.0898869020501363,0.10078717208102078
0.31018348141527785,0.28331947326660156,-0.10952918066660157,-0.010489043321193093,-3.0850720880460973,0.11003027513957653
0.31544082855790967,0.28729248046875,-0.10952918066660157,-0.010489043321193093,-3.0850720880460973,0.11003027513957653
0.3206981757005415,0.291170597076416,-0.11896004922967227,-0.011829157812830997,-3.0802875638658906,0.11954673683244937
0.32595552284317336,0.29518604278564453,-0.11896004922967227,-0.011829157812830997,-3.0802875638658906,0.11954673683244937
0.3312128699858052,0.3001728057861328,-0.1286482635010006,-0.013261486622036581,-3.0751987857624514,0.12932997614338812
