timestamp,curr_x,curr_y,v_curr,yaw,pp_steering,pp_speed,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19
1773542931.0294886,0.0,0.0,0.0,0.0,0.0,5.0,1.3857617,1.133973,1.0539249,0.99917585,1.0029922,1.1202894,1.2925646,1.697715,2.7013798,7.996894,5.5447407,1.8946583,1.2003297,0.88633174,0.7980539,0.7056633,0.71719456,0.7526692,0.8033888,0.96278363
1773542931.0335708,0.0,0.0,0.0,0.0,0.0,5.0,1.3857617,1.133973,1.0539249,0.99917585,1.0029922,1.1202894,1.2925646,1.697715,2.7013798,7.996894,5.5447407,1.8946583,1.2003297,0.88633174,0.7980539,0.7056633,0.71719456,0.7526692,0.8033888,0.96278363
1773542931.037521,0.0,0.0,0.0,0.0,0.0,5.0,1.3857617,1.133973,1.0539249,0.99917585,1.0029922,1.1202894,1.2925646,1.697715,2.7013798,7.996894,5.5447407,1.8946583,1.2003297,0.88633174,0.7980539,0.7056633,0.71719456,0.7526692,0.8033888,0.96278363
1773542931.0414758,0.0,0.0,0.0,0.0,0.0,5.0,1.3857617,1.133973,1.0539249,0.99917585,1.0029922,1.1202894,1.2925646,1.697715,2.7013798,7.996894,5.5447407,1.8946583,1.2003297,0.88633174,0.7980539,0.7056633,0.71719456,0.7526692,0.8033888,0.96278363
1773542931.0454624,0.0,0.0,0.0,0.0,0.0,5.0,1.3857617,1.133973,1.0539249,0.99917585,1.0029922,1.1202894,1.2925646,1.697715,2.7013798,7.996894,5.5447407,1.8946583,1.2003297,0.88633174,0.7980539,0.7056633,0.71719456,0.7526692,0.8033888,0.96278363
1773542931.049431,0.0,0.0,0.0,0.0,0.0,5.0,1.3857617,1.133973,1.0539249,0.99917585,1.0029922,1.1202894,1.2925646,1.697715,2.7013798,7.996894,5.5447407,1.8946583,1.2003297,0.88633174,0.7980539,0.7056633,0.71719456,0.7526692,0.8033888,0.96278363
1773542931.053455,0.0,0.0,0.0,0.0,0.0,5.0,1.3857617,1.133973,1.0539249,0.99917585,1.0029922,1.1202894,1.2925646,1.697715,2.7013798,7.996894,5.5447407,1.8946583,1.2003297,0.88633174,0.7980539,0.7056633,0.71719456,0.7526692,0.8033888,0.96278363
1773542931.05802,0.00023774999999999998,0.0,0.047549999999999995,0.0,0.0,5.0,1.403253,1.151438,1.0406444,1.0099936,1.0174344,1.0987904,1.3078593,1.6941752,2.6756654,8.000336,5.5330195,1.8965867,1.1868156,0.9073716,0.80582935,0.70393604,0.71649927,0.7500376,0.7823783,0.95438045
1773542931.0614674,0.00023774999999999998,0.0,0.047549999999999995,0.0,0.0,5.0,1.403253,1.151438,1.0406444,1.0099936,1.0174344,1.0987904,1.3078593,1.6941752,2.6756654,8.000336,5.5330195,1.8965867,1.1868156,0.9073716,0.80582935,0.70393604,0.71649927,0.7500376,0.7823783,0.95438045
1773542931.0654695,0.00023774999999999998,0.0,0.047549999999999995,0.0,0.0,5.0,1.403253,1.151438,1.0406444,1.0099936,1.0174344,1.0987904,1.3078593,1.6941752,2.6756654,8.000336,5.5330195,1.8965867,1.1868156,0.9073716,0.80582935,0.70393604,0.71649927,0.7500376,0.7823783,0.95438045
1773542931.0694206,0.00118875,0.0,0.14265,0.0,0.0,5.0,1.3986305,1.1541947,1.0563201,1.0148118,0.98970777,1.0992372,1.3007946,1.6984284,2.6895666,7.994104,5.5545135,1.8844533,1.2045273,0.8858184,0.7914165,0.6949846,0.68981177,0.7519333,0.7992953,0.967983
1773542931.073471,0.00118875,0.0,0.14265,0.0,0.0,5.0,1.3986305,1.1541947,1.0563201,1.0148118,0.98970777,1.0992372,1.3007946,1.6984284,2.6895666,7.994104,5.5545135,1.8844533,1.2045273,0.8858184,0.7914165,0.6949846,0.68981177,0.7519333,0.7992953,0.967983
1773542931.0780537,0.0030907499999999997,0.0,0.23775,0.0,0.0,5.0,1.3765026,1.13717,1.0656576,0.9878299,1.0066235,1.0864779,1.2860472,1.7024692,2.6920333,7.9963484,5.528508,1.8872155,1.1883044,0.89586955,0.79484534,0.6873999,0.7031208,0.76957476,0.79584295,0.9619556
1773542931.0814788,0.0030907499999999997,0.0,0.23775,0.0,0.0,5.0,1.3765026,1.13717,1.0656576,0.9878299,1.0066235,1.0864779,1.2860472,1.7024692,2.6920333,7.9963484,5.528508,1.8872155,1.1883044,0.89586955,0.79484534,0.6873999,0.7031208,0.76957476,0.79584295,0.9619556
1773542931.0854833,0.0030907499999999997,0.0,0.23775,0.0,0.0,5.0,1.3765026,1.13717,1.0656576,0.9878299,1.0066235,1.0864779,1.2860472,1.7024692,2.6920333,7.9963484,5.528508,1.8872155,1.1883044,0.89586955,0.79484534,0.6873999,0.7031208,0.76957476,0.79584295,0.9619556
1773542931.0894942,0.005943749999999999,0.0,0.33285,0.0,0.0,5.0,1.400447,1.1529944,1.0553092,0.99285805,0.9870438,1.1069087,1.2974249,1.6922259,2.699698,8.002878,5.5663333,1.8880465,1.208544,0.903411,0.80779505,0.70399296,0.70570713,0.74464387,0.819136,0.9607947
1773542931.0934892,0.005943749999999999,0.0,0.33285,0.0,0.0,5.0,1.400447,1.1529944,1.0553092,0.99285805,0.9870438,1.1069087,1.2974249,1.6922259,2.699698,8.002878,5.5663333,1.8880465,1.208544,0.903411,0.80779505,0.70399296,0.70570713,0.74464387,0.819136,0.9607947
1773542931.0980678,0.009747749999999998,0.0,0.42794999999999994,0.0,0.0,5.0,1.3946244,1.1446317,1.0473337,1.0223116,0.99414223,1.1156387,1.3150537,1.71429,2.7067084,7.984462,5.550231,1.9224266,1.1809636,0.9142354,0.80236334,0.7256159,0.69802976,0.75274265,0.7904831,0.9662843
1773542931.1014452,0.009747749999999998,0.0,0.42794999999999994,0.0,0.0,5.0,1.3946244,1.1446317,1.0473337,1.0223116,0.99414223,1.1156387,1.3150537,1.71429,2.7067084,7.984462,5.550231,1.9224266,1.1809636,0.9142354,0.80236334,0.7256159,0.69802976,0.75274265,0.7904831,0.9662843
1773542931.105452,0.009747749999999998,0.0,0.42794999999999994,0.0,0.0,5.0,1.3946244,1.1446317,1.0473337,1.0223116,0.99414223,1.1156387,1.3150537,1.71429,2.7067084,7.984462,5.550231,1.9224266,1.1809636,0.9142354,0.80236334,0.7256159,0.69802976,0.75274265,0.7904831,0.9662843
1773542931.109498,0.014502749999999997,0.0,0.5230499999999999,0.0,0.0,5.0,1.4175287,1.1523407,1.0556872,1.0136063,1.0124562,1.1010308,1.3017445,1.7001287,2.7061207,8.011959,5.5671177,1.8984891,1.1913255,0.9186599,0.7851435,0.6963891,0.68899304,0.7546166,0.81453085,0.9525587
1773542931.113479,0.014502749999999997,0.0,0.5230499999999999,0.0,0.0,5.0,1.4175287,1.1523407,1.0556872,1.0136063,1.0124562,1.1010308,1.3017445,1.7001287,2.7061207,8.011959,5.5671177,1.8984891,1.1913255,0.9186599,0.7851435,0.6963891,0.68899304,0.7546166,0.81453085,0.9525587
1773542931.11843,0.020208749999999998,0.0,0.6181499999999999,0.0,0.0,5.0,1.3941727,1.1351839,1.0360309,0.9974981,0.9893598,1.0850861,1.2941056,1.7003659,2.6997197,7.995565,5.537285,1.896612,1.2006536,0.90082073,0.80382556,0.71067584,0.6943248,0.7652161,0.77903426,0.95494646
1773542931.1215136,0.020208749999999998,0.0,0.6181499999999999,0.0,0.0,5.0,1.3941727,1.1351839,1.0360309,0.9974981,0.9893598,1.0850861,1.2941056,1.7003659,2.6997197,7.995565,5.537285,1.896612,1.2006536,0.90082073,0.80382556,0.71067584,0.6943248,0.7652161,0.77903426,0.95494646
1773542931.1255138,0.020208749999999998,0.0,0.6181499999999999,0.0,0.0,5.0,1.3941727,1.1351839,1.0360309,0.9974981,0.9893598,1.0850861,1.2941056,1.7003659,2.6997197,7.995565,5.537285,1.896612,1.2006536,0.90082073,0.80382556,0.71067584,0.6943248,0.7652161,0.77903426,0.95494646
1773542931.1295161,0.026865749999999994,0.0,0.7132499999999998,0.0,0.0,5.0,1.403682,1.1400992,1.0566143,0.9993985,0.9842109,1.1004934,1.3143327,1.6924133,2.7006063,8.010641,5.5562887,1.8889648,1.1925888,0.90099657,0.80829257,0.7104207,0.7069548,0.77237946,0.7935634,0.9526405
1773542931.1335094,0.026865749999999994,0.0,0.7132499999999998,0.0,0.0,5.0,1.403682,1.1400992,1.0566143,0.9993985,0.9842109,1.1004934,1.3143327,1.6924133,2.7006063,8.010641,5.5562887,1.8889648,1.1925888,0.90099657,0.80829257,0.7104207,0.7069548,0.77237946,0.7935634,0.9526405
1773542931.1385658,0.03447374999999999,0.0,0.8083499999999998,0.0,0.0,5.0,1.4079624,1.1470673,1.0376874,1.0040833,0.9935463,1.1065556,1.3139455,1.6820623,2.7029355,7.9871435,5.56031,1.8863684,1.1932677,0.9031646,0.8060477,0.7089699,0.70924747,0.7616929,0.8153649,0.9468216
1773542931.1414642,0.03447374999999999,0.0,0.8083499999999998,0.0,0.0,5.0,1.4079624,1.1470673,1.0376874,1.0040833,0.9935463,1.1065556,1.3139455,1.6820623,2.7029355,7.9871435,5.56031,1.8863684,1.1932677,0.9031646,0.8060477,0.7089699,0.70924747,0.7616929,0.8153649,0.9468216
1773542931.1454954,0.03447374999999999,0.0,0.8083499999999998,0.0,0.0,5.0,1.4079624,1.1470673,1.0376874,1.0040833,0.9935463,1.1065556,1.3139455,1.6820623,2.7029355,7.9871435,5.56031,1.8863684,1.1932677,0.9031646,0.8060477,0.7089699,0.70924747,0.7616929,0.8153649,0.9468216
1773542931.149512,0.04303274999999999,0.0,0.9034499999999998,0.0,0.0,5.0,1.3818506,1.1538615,1.052275,1.0054821,0.9878534,1.1048905,1.305758,1.708533,2.6948326,7.998893,5.549118,1.8901898,1.2085295,0.9018048,0.7993108,0.6976036,0.7098538,0.7564247,0.7965394,0.94668263
1773542931.153573,0.04303274999999999,0.0,0.9034499999999998,0.0,0.0,5.0,1.3818506,1.1538615,1.052275,1.0054821,0.9878534,1.1048905,1.305758,1.708533,2.6948326,7.998893,5.549118,1.8901898,1.2085295,0.9018048,0.7993108,0.6976036,0.7098538,0.7564247,0.7965394,0.94668263
1773542931.1583624,0.052542749999999985,0.0,0.9985499999999997,0.0,0.0,5.0,1.4061683,1.1624258,1.0499239,1.0095646,1.0000684,1.1077044,1.2992083,1.6923662,2.690032,8.002655,5.5519133,1.8983388,1.1840359,0.9178753,0.80840933,0.70875686,0.7027549,0.74237174,0.8018313,0.9388766
1773542931.1614983,0.052542749999999985,0.0,0.9985499999999997,0.0,0.0,5.0,1.4061683,1.1624258,1.0499239,1.0095646,1.0000684,1.1077044,1.2992083,1.6923662,2.690032,8.002655,5.5519133,1.8983388,1.1840359,0.9178753,0.80840933,0.70875686,0.7027549,0.74237174,0.8018313,0.9388766
1773542931.1654775,0.052542749999999985,0.0,0.9985499999999997,0.0,0.0,5.0,1.4061683,1.1624258,1.0499239,1.0095646,1.0000684,1.1077044,1.2992083,1.6923662,2.690032,8.002655,5.5519133,1.8983388,1.1840359,0.9178753,0.80840933,0.70875686,0.7027549,0.74237174,0.8018313,0.9388766
1773542931.1695044,0.06300374999999998,0.0,1.0936499999999998,0.0,0.0,5.0,1.3874078,1.1199123,1.0653385,1.0113962,0.99364424,1.1099265,1.3047353,1.6958858,2.698698,8.002765,5.556127,1.8990177,1.215073,0.9239302,0.79623264,0.7022349,0.69466156,0.7542258,0.78567934,0.95493954
1773542931.1734734,0.06300374999999998,0.0,1.0936499999999998,0.0,0.0,5.0,1.3874078,1.1199123,1.0653385,1.0113962,0.99364424,1.1099265,1.3047353,1.6958858,2.698698,8.002765,5.556127,1.8990177,1.215073,0.9239302,0.79623264,0.7022349,0.69466156,0.7542258,0.78567934,0.95493954
1773542931.178325,0.07441574999999997,0.0,1.1887499999999998,0.0,0.0,5.0,1.4276406,1.1484439,1.0486646,1.0086036,0.9976914,1.1053044,1.2786591,1.7049296,2.7081585,7.989738,5.5507255,1.8957987,1.1997098,0.9092575,0.78824216,0.7090962,0.70223063,0.75934005,0.80992377,0.94032764
1773542931.1814878,0.07441574999999997,0.0,1.1887499999999998,0.0,0.0,5.0,1.4276406,1.1484439,1.0486646,1.0086036,0.9976914,1.1053044,1.2786591,1.7049296,2.7081585,7.989738,5.5507255,1.8957987,1.1997098,0.9092575,0.78824216,0.7090962,0.70223063,0.75934005,0.80992377,0.94032764
1773542931.1854794,0.07441574999999997,0.0,1.1887499999999998,0.0,0.0,5.0,1.4276406,1.1484439,1.0486646,1.0086036,0.9976914,1.1053044,1.2786591,1.7049296,2.7081585,7.989738,5.5507255,1.8957987,1.1997098,0.9092575,0.78824216,0.7090962,0.70223063,0.75934005,0.80992377,0.94032764
1773542931.1894803,0.08677874999999997,0.0,1.2838499999999997,0.0,0.0,5.0,1.4083334,1.1643039,1.0383677,1.0004963,0.9941059,1.1151459,1.3010558,1.6831585,2.7128294,8.016654,5.5702996,1.8936322,1.196113,0.9005068,0.8002865,0.7003919,0.7001153,0.7627982,0.7935028,0.94249445
1773542931.1934853,0.08677874999999997,0.0,1.2838499999999997,0.0,0.0,5.0,1.4083334,1.1643039,1.0383677,1.0004963,0.9941059,1.1151459,1.3010558,1.6831585,2.7128294,8.016654,5.5702996,1.8936322,1.196113,0.9005068,0.8002865,0.7003919,0.7001153,0.7627982,0.7935028,0.94249445
1773542931.1982853,0.10009274999999997,0.0,1.3789499999999997,0.0,0.0,5.0,1.4040716,1.1520541,1.0416908,1.0089875,0.99897426,1.0797482,1.3055934,1.6923909,2.6973426,8.017579,5.5527554,1.8925573,1.195134,0.9080345,0.80561817,0.7079933,0.6985261,0.7326724,0.7936847,0.955332
1773542931.2014809,0.10009274999999997,0.0,1.3789499999999997,0.0,0.0,5.0,1.4040716,1.1520541,1.0416908,1.0089875,0.99897426,1.0797482,1.3055934,1.6923909,2.6973426,8.017579,5.5527554,1.8925573,1.195134,0.9080345,0.80561817,0.7079933,0.6985261,0.7326724,0.7936847,0.955332
1773542931.2054596,0.10009274999999997,0.0,1.3789499999999997,0.0,0.0,5.0,1.4040716,1.1520541,1.0416908,1.0089875,0.99897426,1.0797482,1.3055934,1.6923909,2.6973426,8.017579,5.5527554,1.8925573,1.195134,0.9080345,0.80561817,0.7079933,0.6985261,0.7326724,0.7936847,0.955332
1773542931.2094867,0.11435774999999997,0.0,1.4740499999999996,0.0,0.0,5.0,1.4046525,1.147396,1.0640959,0.9872372,0.99065125,1.0940481,1.2980025,1.7020795,2.6939592,7.9923425,5.5509505,1.881423,1.2039291,0.89209205,0.7843789,0.69678503,0.6912943,0.75436264,0.81145054,0.94413465
1773542931.2134924,0.11435774999999997,0.0,1.4740499999999996,0.0,0.0,5.0,1.4046525,1.147396,1.0640959,0.9872372,0.99065125,1.0940481,1.2980025,1.7020795,2.6939592,7.9923425,5.5509505,1.881423,1.2039291,0.89209205,0.7843789,0.69678503,0.6912943,0.75436264,0.81145054,0.94413465
1773542931.2182622,0.12957374999999996,0.0,1.5691499999999996,0.0,0.0,5.0,1.4025604,1.1474738,1.0518013,1.0001558,0.99710906,1.1110342,1.2938509,1.6864904,2.6880956,8.004527,5.539869,1.8973145,1.2050723,0.898573,0.8015072,0.6974475,0.6936165,0.7410363,0.79821664,0.9618232
1773542931.2214844,0.12957374999999996,0.0,1.5691499999999996,0.0,0.0,5.0,1.4025604,1.1474738,1.0518013,1.0001558,0.99710906,1.1110342,1.2938509,1.6864904,2.6880956,8.004527,5.539869,1.8973145,1.2050723,0.898573,0.8015072,0.6974475,0.6936165,0.7410363,0.79821664,0.9618232
1773542931.2254927,0.12957374999999996,0.0,1.5691499999999996,0.0,0.0,5.0,1.4025604,1.1474738,1.0518013,1.0001558,0.99710906,1.1110342,1.2938509,1.6864904,2.6880956,8.004527,5.539869,1.8973145,1.2050723,0.898573,0.8015072,0.6974475,0.6936165,0.7410363,0.79821664,0.9618232
